Date,AAPL,MSFT,GOOGL,AMZN
2022-08-22,165.3697509765625,271.9521789550781,113.69641876220703,133.22000122070312
2022-08-23,165.03419494628906,270.6695251464844,113.31822967529297,133.6199951171875
2022-08-24,165.3302459716797,270.0331115722656,113.14904022216797,133.8000030517578
2022-08-25,167.7974395751953,273.0291748046875,116.09495544433594,137.27999877929688
2022-08-26,161.4716033935547,262.49383544921875,109.81497955322266,130.75
2022-08-29,159.2610321044922,259.6935729980469,108.89936828613281,129.7899932861328
2022-08-30,156.82345581054688,257.4806823730469,108.42164611816406,128.72999572753906
2022-08-31,155.15560913085938,256.0119934082031,107.70506286621094,126.7699966430664
2022-09-01,155.88592529296875,254.96438598632812,109.21783447265625,127.81999969482422
2022-09-02,153.76412963867188,250.71495056152344,107.33682250976562,127.51000213623047
2022-09-06,152.50094604492188,247.9635772705078,106.30176544189453,126.11000061035156
2022-09-07,153.91220092773438,252.70254516601562,108.92920684814453,129.47999572753906
2022-09-08,152.431884765625,253.1236114501953,107.86430358886719,129.82000732421875
2022-09-09,155.30368041992188,258.9395446777344,110.12350463867188,133.27000427246094
2022-09-12,161.2841033935547,261.0838928222656,110.33250427246094,136.4499969482422
2022-09-13,151.82000732421875,246.72987365722656,103.82362365722656,126.81999969482422
2022-09-14,153.27072143554688,246.955078125,104.5003890991211,128.5500030517578
2022-09-15,150.36932373046875,240.25787353515625,102.42033386230469,126.27999877929688
2022-09-16,148.7212371826172,239.63124084472656,102.31086730957031,123.52999877929688
2022-09-19,152.45159912109375,239.41583251953125,102.57957458496094,124.66000366210938
2022-09-20,154.83982849121094,237.38905334472656,100.65875244140625,122.19000244140625
2022-09-21,151.7015838623047,233.96209716796875,98.80760955810547,118.54000091552734
2022-09-22,150.73448181152344,235.94972229003906,99.66351318359375,117.30999755859375
2022-09-23,148.45481872558594,232.95359802246094,98.27017211914062,113.77999877929688
2022-09-26,148.79034423828125,232.49339294433594,97.70288848876953,115.1500015258789
2022-09-27,149.76730346679688,231.47512817382812,97.03607940673828,114.41000366210938
2022-09-28,147.87252807617188,236.03785705566406,99.57394409179688,118.01000213623047
2022-09-29,140.60919189453125,232.5423583984375,96.95645904541016,114.80000305175781
2022-09-30,136.38536071777344,228.0383758544922,95.19487762451172,113.0
2022-10-03,140.57955932617188,235.71473693847656,98.170654296875,115.87999725341797
2022-10-04,144.181640625,243.68482971191406,101.1563720703125,121.08999633789062
2022-10-05,144.4777069091797,243.99813842773438,100.94738006591797,120.94999694824219
2022-10-06,143.52044677734375,241.63844299316406,100.93741607666016,120.30000305175781
2022-10-07,138.25057983398438,229.3504180908203,98.21046447753906,114.55999755859375
2022-10-10,138.57623291015625,224.464599609375,97.39437103271484,113.66999816894531
2022-10-11,137.1551513671875,220.70474243164062,96.71759796142578,112.20999908447266
2022-10-12,136.52354431152344,221.03762817382812,97.09579467773438,112.9000015258789
2022-10-13,141.11245727539062,229.3504180908203,98.58865356445312,112.52999877929688
2022-10-14,136.5630340576172,223.78897094726562,96.10055541992188,106.9000015258789
2022-10-17,140.54010009765625,232.57174682617188,99.49431610107422,113.79000091552734
2022-10-18,141.8625030517578,233.52149963378906,100.29051208496094,116.36000061035156
2022-10-19,141.97103881835938,231.54367065429688,99.15593719482422,115.06999969482422
2022-10-20,141.50723266601562,231.2205352783203,99.49431610107422,115.25
2022-10-21,145.33628845214844,237.06591796875,100.6488037109375,119.31999969482422
2022-10-24,147.48764038085938,242.08883666992188,102.03218841552734,119.81999969482422
2022-10-25,150.33970642089844,245.42767333984375,103.98286437988281,120.5999984741211
2022-10-26,147.3889617919922,226.49136352539062,94.47830200195312,115.66000366210938
2022-10-27,142.89869689941406,222.01673889160156,91.78119659423828,110.95999908447266
2022-10-28,153.69505310058594,230.9463653564453,95.83182525634766,103.41000366210938
2022-10-31,151.32656860351562,227.2844696044922,94.060302734375,102.44000244140625
2022-11-01,148.67189025878906,223.40711975097656,90.0395278930664,96.79000091552734
2022-11-02,143.12570190429688,215.50559997558594,86.55618286132812,92.12000274658203
2022-11-03,137.0564422607422,209.77767944335938,83.03301239013672,89.30000305175781
2022-11-04,136.78956604003906,216.7686309814453,86.16803741455078,90.9800033569336
2022-11-07,137.32333374023438,223.11337280273438,88.0689468383789,90.52999877929688
2022-11-08,137.8966827392578,224.09251403808594,88.47699737548828,89.9800033569336
2022-11-09,133.3199005126953,219.82354736328125,86.9045181274414,86.13999938964844
2022-11-10,145.18199157714844,237.90794372558594,93.4930191040039,96.62999725341797
2022-11-11,147.97943115234375,241.95179748535156,95.95126342773438,100.79000091552734
2022-11-14,146.57574462890625,236.50782775878906,95.24463653564453,98.48999786376953
2022-11-15,148.3155517578125,236.91903686523438,97.97160339355469,98.94000244140625
2022-11-16,147.07989501953125,237.35107421875,98.37964630126953,97.12000274658203
2022-11-17,148.9877166748047,237.30197143554688,97.89198303222656,94.8499984741211
2022-11-18,149.55116271972656,236.85032653808594,96.96640014648438,94.13999938964844
2022-11-21,146.3088836669922,237.66526794433594,95.14511108398438,92.45999908447266
2022-11-22,148.4539337158203,240.59127807617188,96.58821868896484,93.19999694824219
2022-11-23,149.333740234375,243.09512329101562,97.99150848388672,94.12999725341797
2022-11-25,146.40771484375,243.00672912597656,96.99626922607422,93.41000366210938
2022-11-28,142.5624542236328,237.38052368164062,95.59297180175781,93.94999694824219
2022-11-29,139.54750061035156,235.97645568847656,94.73706817626953,92.41999816894531
2022-11-30,146.32862854003906,250.51815795898438,100.50947570800781,96.54000091552734
2022-12-01,146.6053924560547,250.07630920410156,100.50947570800781,95.5
2022-12-02,146.11119079589844,250.4003448486328,99.96208953857422,94.12999725341797
2022-12-05,144.94476318359375,245.66763305664062,99.00666046142578,91.01000213623047
2022-12-06,141.2675018310547,240.67965698242188,96.5185546875,88.25
2022-12-07,139.3201141357422,239.9432373046875,94.4882583618164,88.45999908447266
2022-12-08,141.01046752929688,242.91836547851562,93.26410675048828,90.3499984741211
2022-12-09,140.52610778808594,240.9742431640625,92.38829803466797,89.08999633789062
2022-12-12,142.82933044433594,247.93582153320312,92.86601257324219,90.55000305175781
2022-12-13,143.79808044433594,252.26593017578125,95.17497253417969,92.48999786376953
2022-12-14,141.5640411376953,252.56051635742188,94.61763763427734,91.58000183105469
2022-12-15,134.93113708496094,244.49920654296875,90.42766571044922,88.44999694824219
2022-12-16,132.9640350341797,240.25747680664062,89.83052062988281,87.86000061035156
2022-12-19,130.84861755371094,236.09425354003906,88.01918029785156,84.91999816894531
2022-12-20,130.77944946289062,237.41981506347656,88.5964126586914,85.19000244140625
2022-12-21,133.89321899414062,240.00216674804688,89.15376281738281,86.7699966430664
2022-12-22,130.7102508544922,233.87521362304688,87.34242248535156,83.79000091552734
2022-12-23,130.34446716308594,234.4054412841797,88.80542755126953,85.25
2022-12-27,128.53550720214844,232.66751098632812,86.97418212890625,83.04000091552734
2022-12-28,124.59138488769531,230.281494140625,85.61070251464844,81.81999969482422
2022-12-29,128.12033081054688,236.64413452148438,88.02912902832031,84.18000030517578
2022-12-30,128.43666076660156,235.4756622314453,87.81019592285156,84.0
2023-01-03,123.63252258300781,235.24000549316406,88.6959457397461,85.81999969482422
2023-01-04,124.90769958496094,224.94985961914062,87.66090393066406,85.13999938964844
2023-01-05,123.58309936523438,218.28286743164062,85.78984832763672,83.12000274658203
2023-01-06,128.13021850585938,220.8553924560547,86.92442321777344,86.08000183105469
2023-01-09,128.65414428710938,223.00572204589844,87.60118103027344,87.36000061035156
2023-01-10,129.2274627685547,224.7043914794922,87.99927520751953,89.87000274658203
2023-01-11,131.9557647705078,231.49903869628906,91.08452606201172,95.08999633789062
2023-01-12,131.876708984375,234.18939208984375,90.6963882446289,95.2699966430664
2023-01-13,133.21115112304688,234.8963623046875,91.68167114257812,98.12000274658203
2023-01-17,134.3776092529297,235.99609375,90.85562896728516,96.05000305175781
2023-01-18,133.65597534179688,231.53829956054688,90.68643188476562,95.45999908447266
2023-01-19,133.71527099609375,227.72860717773438,92.60725402832031,93.68000030517578
2023-01-20,136.28541564941406,235.86846923828125,97.55359649658203,97.25
2023-01-23,139.48817443847656,238.18569946289062,99.315185546875,97.5199966430664
2023-01-24,140.891845703125,237.6554412841797,97.23512268066406,96.31999969482422
2023-01-25,140.22955322265625,236.25135803222656,94.76692962646484,97.18000030517578
2023-01-26,142.305419921875,243.5075225830078,97.05597686767578,99.22000122070312
2023-01-27,144.25277709960938,243.66458129882812,98.89717864990234,102.23999786376953
2023-01-30,141.35646057128906,238.3133087158203,96.47874450683594,100.55000305175781
2023-01-31,142.63160705566406,243.32095336914062,98.36969757080078,103.12999725341797
2023-02-01,143.7584991455078,248.17144775390625,99.95213317871094,105.1500015258789
2023-02-02,149.08656311035156,259.8067932128906,107.22734832763672,112.91000366210938
2023-02-03,152.72427368164062,253.6700439453125,104.28143310546875,103.38999938964844
2023-02-06,149.98611450195312,252.1186065673828,102.41038513183594,102.18000030517578
2023-02-07,152.87254333496094,262.71319580078125,107.1278305053711,102.11000061035156
2023-02-08,150.17391967773438,261.898193359375,98.89717864990234,100.05000305175781
2023-02-09,149.13600158691406,258.84454345703125,94.55792236328125,98.23999786376953
2023-02-10,149.50230407714844,258.3339538574219,94.1200180053711,97.61000061035156
2023-02-13,152.31396484375,266.405029296875,94.15982818603516,99.54000091552734
2023-02-14,151.67044067382812,267.2397155761719,94.2294921875,99.69999694824219
2023-02-15,153.7791748046875,265.1036376953125,96.47874450683594,101.16000366210938
2023-02-16,152.17535400390625,258.0458679199219,95.0555419921875,98.1500015258789
2023-02-17,151.02694702148438,254.01992797851562,93.90106201171875,97.19999694824219
2023-02-21,146.99755859375,248.71429443359375,91.3532485961914,94.58000183105469
2023-02-22,147.4232635498047,247.5724639892578,91.21392059326172,95.79000091552734
2023-02-23,147.90838623046875,250.7814178466797,90.45752716064453,95.81999969482422
2023-02-24,145.24525451660156,245.31829833984375,88.70590209960938,93.5
2023-02-27,146.4431610107422,246.2436065673828,89.4423828125,93.76000213623047
2023-02-28,145.93826293945312,245.51516723632812,89.63147735595703,94.2300033569336
2023-03-01,143.8592071533203,242.41448974609375,89.93004608154297,92.16999816894531
2023-03-02,144.45323181152344,247.17872619628906,91.56224060058594,92.12999725341797
2023-03-03,149.5220947265625,251.29327392578125,93.20439147949219,94.9000015258789
2023-03-06,152.2941436767578,252.84854125976562,94.6773452758789,93.75
2023-03-07,150.08642578125,250.17112731933594,93.41339874267578,93.55000305175781
2023-03-08,151.34376525878906,249.72817993164062,93.8015365600586,93.91999816894531
2023-03-09,149.08648681640625,248.36976623535156,91.88072204589844,92.25
2023-03-10,147.0173797607422,244.69818115234375,90.19876098632812,90.7300033569336
2023-03-13,148.9676971435547,249.9447021484375,90.67648315429688,92.43000030517578
2023-03-14,151.0665283203125,256.7071838378906,93.52287292480469,94.87999725341797
2023-03-15,151.46255493164062,261.2843933105469,95.6526870727539,96.19999694824219
2023-03-16,154.2939910888672,271.8759765625,99.84265899658203,100.04000091552734
2023-03-17,153.45248413085938,275.0553283691406,101.136474609375,98.94999694824219
2023-03-20,155.82850646972656,267.96807861328125,100.73837280273438,97.70999908447266
2023-03-21,157.6897430419922,269.4938049316406,104.42076873779297,100.61000061035156
2023-03-22,156.25421142578125,268.0271301269531,102.8781509399414,98.69999694824219
2023-03-23,157.34323120117188,273.31304931640625,105.0975341796875,98.70999908447266
2023-03-24,158.65003967285156,276.17755126953125,104.93830108642578,98.12999725341797
2023-03-27,156.69970703125,272.0531311035156,101.97246551513672,98.04000091552734
2023-03-28,156.07598876953125,270.921142578125,100.54928588867188,97.23999786376953
2023-03-29,159.16485595703125,276.118408203125,100.9075698852539,100.25
2023-03-30,160.73898315429688,279.6029968261719,100.40995025634766,102.0
2023-03-31,163.2536163330078,283.7864685058594,103.23643493652344,103.29000091552734
2023-04-03,164.51097106933594,282.7332458496094,103.8634262084961,102.41000366210938
2023-04-04,163.97634887695312,282.68402099609375,104.22171783447266,103.94999694824219
2023-04-05,162.12501525878906,279.888427734375,103.97291564941406,101.0999984741211
2023-04-06,163.0160369873047,287.0348205566406,107.90411376953125,102.05999755859375
2023-04-10,160.41226196289062,284.85943603515625,105.93354034423828,102.16999816894531
2023-04-11,159.19456481933594,278.4021301269531,104.84872436523438,99.91999816894531
2023-04-12,158.5015411376953,279.0517578125,104.14209747314453,97.83000183105469
2023-04-13,163.90704345703125,285.3023681640625,106.9188232421875,102.4000015258789
2023-04-14,163.56056213378906,281.6602783203125,108.35197448730469,102.51000213623047
2023-04-17,163.58033752441406,284.27862548828125,105.46577453613281,102.73999786376953
2023-04-18,164.80796813964844,283.85540771484375,104.00276184082031,102.30000305175781
2023-04-19,165.95639038085938,283.9341735839844,103.68429565429688,104.30000305175781
2023-04-20,164.98614501953125,281.6307373046875,104.78900909423828,103.80999755859375
2023-04-21,163.3724365234375,281.2862548828125,104.908447265625,106.95999908447266
2023-04-24,163.67933654785156,277.3586730957031,105.46577453613281,106.20999908447266
2023-04-25,162.13491821289062,271.108154296875,103.3558578491211,102.56999969482422
2023-04-26,162.12501525878906,290.7458190917969,103.21652221679688,104.9800033569336
2023-04-27,166.7285919189453,300.05767822265625,107.07805633544922,109.81999969482422
2023-04-28,167.98590087890625,302.44964599609375,106.82925415039062,105.44999694824219
2023-05-01,167.89682006835938,300.7762756347656,106.6899185180664,102.05000305175781
2023-05-02,166.85726928710938,300.6286315917969,104.81886291503906,103.62999725341797
2023-05-03,165.77816772460938,299.6343994140625,104.908447265625,103.6500015258789
2023-05-04,164.13470458984375,300.6286315917969,104.1918716430664,104.0
2023-05-05,171.83706665039062,305.78656005859375,105.06768035888672,105.66000366210938
2023-05-08,171.76776123046875,303.8179016113281,107.2572021484375,105.83000183105469
2023-05-09,170.0550537109375,302.1937255859375,106.83920288085938,106.62000274658203
2023-05-10,171.82717895507812,307.42059326171875,111.21826934814453,110.19000244140625
2023-05-11,172.01527404785156,305.2550354003906,116.01533508300781,112.18000030517578
2023-05-12,171.0833740234375,304.1329040527344,116.95086669921875,110.26000213623047
2023-05-15,170.58766174316406,304.61517333984375,115.95561981201172,111.19999694824219
2023-05-16,170.58766174316406,306.8595275878906,118.94134521484375,113.4000015258789
2023-05-17,171.2023468017578,309.75982666015625,120.26502227783203,115.5
2023-05-18,173.5419921875,314.2187805175781,122.24555206298828,118.1500015258789
2023-05-19,173.65106201171875,314.04119873046875,122.17588806152344,116.25
2023-05-22,172.69932556152344,316.84283447265625,124.45499420166016,115.01000213623047
2023-05-23,170.08206176757812,311.0028076171875,121.9768295288086,114.98999786376953
2023-05-24,170.35968017578125,309.61181640625,120.32473754882812,116.75
2023-05-25,171.499755859375,321.51885986328125,122.89247131347656,115.0
2023-05-26,173.91873168945312,328.3947448730469,124.01708221435547,120.11000061035156
2023-05-30,175.7726287841797,326.7374267578125,123.08155059814453,121.66000366210938
2023-05-31,175.72305297851562,323.95550537109375,122.28536224365234,120.58000183105469
2023-06-01,178.53855895996094,328.0888977050781,123.13130950927734,122.7699966430664
2023-06-02,179.39117431640625,330.8708190917969,124.07679748535156,124.25
2023-06-05,178.03297424316406,331.403564453125,125.4104232788086,125.30000305175781
2023-06-06,177.66616821289062,329.174072265625,126.70423126220703,126.61000061035156
